time,oat,motor_status,difference_oat_and_con_temp
Apr 1 2011 12:00:08 AM,0,1,71.55
Apr 1 2011 12:30:08 AM,0,1,71.42
Apr 1 2011 01:00:08 AM,0,1,71.26
Apr 1 2011 01:30:08 AM,0,1,71.02
Apr 1 2011 02:00:08 AM,0,1,69.84
Apr 1 2011 02:30:08 AM,0,1,69.06
Apr 1 2011 03:00:08 AM,0,1,68.25
Apr 1 2011 03:30:08 AM,0,1,67.78
Apr 1 2011 04:00:08 AM,0,1,67.51
Apr 1 2011 04:30:08 AM,0,1,66.79
Apr 1 2011 05:00:08 AM,0,1,66.31
Apr 1 2011 05:30:08 AM,0,1,65.88
Apr 1 2011 06:00:08 AM,0,1,65.34
Apr 1 2011 06:30:08 AM,0,1,65.19
Apr 1 2011 07:00:08 AM,0,1,65.37
Apr 1 2011 07:30:08 AM,0,1,65.28
Apr 1 2011 08:00:08 AM,0,1,66.83
Apr 1 2011 08:30:08 AM,0,1,67.95
Apr 1 2011 09:00:08 AM,0,1,69.96
Apr 1 2011 09:30:08 AM,0,1,73
Apr 1 2011 10:00:08 AM,0,1,75.29
Apr 1 2011 10:30:08 AM,0,1,74.57
Apr 1 2011 11:00:08 AM,0,1,74.28
Apr 1 2011 11:30:08 AM,0,1,76.41
Apr 1 2011 12:00:08 PM,0,1,77.49
Apr 1 2011 12:30:08 PM,0,1,79.29
Apr 1 2011 01:00:08 PM,0,1,78.37
Apr 1 2011 01:30:08 PM,0,1,77.77
Apr 1 2011 02:00:08 PM,0,1,78.94
Apr 1 2011 02:30:08 PM,0,1,80.31
Apr 1 2011 03:00:08 PM,0,1,78.51
Apr 1 2011 03:30:08 PM,0,1,79.61
Apr 1 2011 04:00:08 PM,0,1,80.22
Apr 1 2011 04:30:08 PM,0,1,80.13
Apr 1 2011 05:00:08 PM,0,1,79.84
Apr 1 2011 05:30:08 PM,0,1,79.32
Apr 1 2011 06:00:08 PM,0,1,76.53
Apr 1 2011 06:30:08 PM,0,1,76.1
Apr 1 2011 07:00:08 PM,0,1,74.52
Apr 1 2011 07:30:08 PM,0,1,73.83
Apr 1 2011 08:00:08 PM,0,1,73.62
Apr 1 2011 08:30:08 PM,0,1,73.58
Apr 1 2011 09:00:08 PM,0,1,73.51
Apr 1 2011 09:30:08 PM,0,1,73.17
Apr 1 2011 10:00:08 PM,0,1,73.26
Apr 1 2011 10:30:08 PM,0,1,73.02
Apr 1 2011 11:00:08 PM,0,1,72.84
Apr 1 2011 11:30:08 PM,0,1,72.28
Apr 2 2011 12:00:08 AM,0,1,72.03
Apr 2 2011 12:30:08 AM,0,1,71.71
Apr 2 2011 01:00:08 AM,0,1,71.58
Apr 2 2011 01:30:08 AM,0,1,71.74
Apr 2 2011 02:00:08 AM,0,1,32
Apr 2 2011 02:30:08 AM,0,1,32
Apr 2 2011 03:00:08 AM,0,1,32
Apr 2 2011 03:30:08 AM,0,1,32
Apr 2 2011 04:00:08 AM,0,1,32
Apr 2 2011 04:30:08 AM,0,1,32
Apr 2 2011 05:00:08 AM,0,1,32
Apr 2 2011 05:30:08 AM,0,1,32
Apr 2 2011 06:00:08 AM,0,1,32
Apr 2 2011 06:30:08 AM,0,1,32
Apr 2 2011 07:00:08 AM,0,1,32
Apr 2 2011 07:30:08 AM,0,1,32
Apr 2 2011 08:00:08 AM,0,1,32
Apr 2 2011 08:30:08 AM,0,1,32
Apr 2 2011 09:00:08 AM,0,1,32
Apr 2 2011 09:30:08 AM,0,1,32
Apr 2 2011 10:00:08 AM,0,1,32
Apr 2 2011 10:30:08 AM,0,1,32
Apr 2 2011 11:00:08 AM,0,1,81.21
Apr 2 2011 11:30:08 AM,0,1,83.5
Apr 2 2011 12:00:08 PM,0,1,80.51
Apr 2 2011 12:30:08 PM,0,1,79.7
Apr 2 2011 01:00:08 PM,0,1,80.24
Apr 2 2011 01:30:08 PM,0,1,78.85
Apr 2 2011 02:00:08 PM,0,1,79.27
Apr 2 2011 02:30:08 PM,0,1,79.74
Apr 2 2011 03:00:08 PM,0,1,79.21
Apr 2 2011 03:30:08 PM,0,1,77.97
Apr 2 2011 04:00:08 PM,0,1,77.97
Apr 2 2011 04:30:08 PM,0,1,77.32
Apr 2 2011 05:00:08 PM,0,1,76.68
Apr 2 2011 05:30:08 PM,0,1,77.49
Apr 2 2011 06:00:08 PM,0,1,76.41
Apr 2 2011 06:30:08 PM,0,1,75.51
Apr 2 2011 07:00:08 PM,0,1,74.62
Apr 2 2011 07:30:08 PM,0,1,74.28
Apr 2 2011 08:00:08 PM,0,1,73.98
Apr 2 2011 08:30:08 PM,0,1,73.94
Apr 2 2011 09:00:08 PM,0,1,73.98
Apr 2 2011 09:30:08 PM,0,1,73.89
Apr 2 2011 10:00:08 PM,0,1,73.47
Apr 2 2011 10:30:08 PM,0,1,73.22
Apr 2 2011 11:00:08 PM,0,1,72.84
Apr 2 2011 11:30:08 PM,0,1,72.46
Apr 3 2011 12:00:08 AM,0,1,72.05
Apr 3 2011 12:30:08 AM,0,1,72.28
Apr 3 2011 01:00:08 AM,0,1,71.96
Apr 3 2011 01:30:08 AM,0,1,71.83
Apr 3 2011 02:00:08 AM,0,1,71.26
Apr 3 2011 02:30:08 AM,0,1,70.43
