time,oat,motor_status,difference_oat_and_con_temp
Apr 1 2011 12:00:01 AM,23.41,22,13.82,20
Apr 1 2011 12:30:01 AM,23.41,22,12.72,0
Apr 1 2011 01:00:01 AM,23.41,22,12.68,27.1
Apr 1 2011 01:30:01 AM,23.41,22,13.62,0
Apr 1 2011 02:00:01 AM,23.41,22,13.81,0
Apr 1 2011 02:30:01 AM,23.41,22,12.67,0
Apr 1 2011 03:00:01 AM,23.41,22,12.34,0
Apr 1 2011 03:30:01 AM,23.41,22,13.66,0
Apr 1 2011 04:00:01 AM,23.41,22,13.6,0
Apr 1 2011 04:30:01 AM,23.41,22,12.38,20
Apr 1 2011 05:00:01 AM,23.41,22,13.47,0
Apr 1 2011 05:30:01 AM,23.41,22,13.72,38.4
Apr 1 2011 06:00:01 AM,23.41,22,12.57,0
Apr 1 2011 06:30:01 AM,23.41,22,12.19,0
Apr 1 2011 07:00:01 AM,23.41,22,13.14,0
Apr 1 2011 07:30:01 AM,23.41,22,13.79,0
Apr 1 2011 08:00:01 AM,23.41,22,12.83,20.5
Apr 1 2011 08:30:01 AM,23.41,22,13.65,0
Apr 1 2011 09:00:01 AM,23.41,22,13.26,0
Apr 1 2011 09:30:01 AM,23.75,22,13.94,0
Apr 1 2011 10:00:01 AM,23.75,22,13.83,0
Apr 1 2011 10:30:01 AM,23.75,22,14.01,0
Apr 1 2011 11:00:01 AM,24.09,22,13.64,5.4
Apr 1 2011 11:30:01 AM,24.43,22,13.46,0
Apr 1 2011 12:00:01 PM,24.43,22,12.88,39.7
Apr 1 2011 12:30:01 PM,24.77,22,13.28,0
Apr 1 2011 01:00:01 PM,24.77,22,14.12,39.2
Apr 1 2011 01:30:01 PM,24.77,22,13.6,0
Apr 1 2011 02:00:01 PM,24.77,22,13.1,0
Apr 1 2011 02:30:01 PM,24.77,22,14,0
Apr 1 2011 03:00:01 PM,24.77,22,13.29,0
Apr 1 2011 03:30:01 PM,24.77,22,12.84,26.1
Apr 1 2011 04:00:01 PM,24.77,22,14.1,0
Apr 1 2011 04:30:01 PM,24.77,22,12.99,0
Apr 1 2011 05:00:01 PM,24.77,22,12.77,0
Apr 1 2011 05:30:01 PM,24.77,22,14.05,0
Apr 1 2011 06:00:01 PM,24.77,22,13.94,37.8
Apr 1 2011 06:30:01 PM,24.77,22,12.85,0
Apr 1 2011 07:00:01 PM,24.77,22,12.9,0
Apr 1 2011 07:30:01 PM,24.77,22,12.52,0
Apr 1 2011 08:00:01 PM,24.77,22,12.79,0
Apr 1 2011 08:30:01 PM,24.77,22,12.74,19.8
Apr 1 2011 09:00:01 PM,24.77,22,13.04,0
Apr 1 2011 09:30:01 PM,24.77,22,13.75,20
Apr 1 2011 10:00:01 PM,24.77,22,13.9,0
Apr 1 2011 10:30:01 PM,24.77,22,13.75,0
Apr 1 2011 11:00:01 PM,24.77,22,13.05,0
Apr 1 2011 11:30:01 PM,24.77,22,12.63,0
Apr 2 2011 12:00:01 AM,24.77,22,13.68,36.7
Apr 2 2011 12:30:01 AM,24.77,22,13.81,0
Apr 2 2011 01:00:01 AM,24.77,22,13.32,32.2
Apr 2 2011 01:30:01 AM,24.77,22,12.56,0
Apr 2 2011 02:00:01 AM,24.77,22,12.59,36.6
Apr 2 2011 02:30:01 AM,24.77,22,13.83,0
Apr 2 2011 03:00:01 AM,24.77,22,13.92,33
Apr 2 2011 03:30:01 AM,24.77,22,12.69,0
Apr 2 2011 04:00:01 AM,24.77,22,13.56,0
Apr 2 2011 04:30:01 AM,24.77,22,13.88,37.1
Apr 2 2011 05:00:01 AM,24.77,22,12.82,0
Apr 2 2011 05:30:01 AM,24.77,22,13.23,0
Apr 2 2011 06:00:01 AM,24.77,22,13.68,0
Apr 2 2011 06:30:01 AM,24.77,22,12.93,0
Apr 2 2011 07:00:01 AM,24.77,22,12.48,0
Apr 2 2011 07:30:01 AM,24.77,22,13.28,36.7
Apr 2 2011 08:00:01 AM,24.77,22,13.83,0
Apr 2 2011 08:30:01 AM,24.77,22,13.2,0
Apr 2 2011 09:00:01 AM,24.77,22,13.24,36.7
Apr 2 2011 09:30:01 AM,24.77,22,13.75,0
Apr 2 2011 10:00:01 AM,24.77,22,13.47,0
Apr 2 2011 10:30:01 AM,24.77,22,13.24,36.4
Apr 2 2011 11:00:01 AM,24.77,22,13.15,0
Apr 2 2011 11:30:01 AM,24.77,22,14.33,20
Apr 2 2011 12:00:01 PM,24.77,22,14.39,0
Apr 2 2011 12:30:01 PM,24.77,22,14.74,0
Apr 2 2011 01:00:01 PM,24.77,22,13.49,36.8
Apr 2 2011 01:30:01 PM,24.77,22,14.01,0
Apr 2 2011 02:00:01 PM,24.77,22,14.31,35.9
Apr 2 2011 02:30:01 PM,24.77,22,14.53,0
Apr 2 2011 03:00:01 PM,24.77,22,14.61,36.3
Apr 2 2011 03:30:01 PM,24.77,22,14.32,0
Apr 2 2011 04:00:01 PM,24.77,22,14.23,0
Apr 2 2011 04:30:01 PM,24.77,22,14.48,0
Apr 2 2011 05:00:01 PM,24.77,22,14.28,0
Apr 2 2011 05:30:01 PM,24.77,22,14.4,0
Apr 2 2011 06:00:01 PM,24.77,22,14.06,37.1
Apr 2 2011 06:30:01 PM,24.77,22,13.83,0
Apr 2 2011 07:00:01 PM,24.77,22,13.6,0
Apr 2 2011 07:30:01 PM,24.77,22,14.65,0
Apr 2 2011 08:00:01 PM,24.77,22,13.52,0
Apr 2 2011 08:30:01 PM,24.77,22,13.75,0
Apr 2 2011 09:00:01 PM,24.77,22,14.19,0
Apr 2 2011 09:30:01 PM,24.77,22,14.09,20
Apr 2 2011 10:00:01 PM,24.77,22,14.18,0
Apr 2 2011 10:30:01 PM,24.77,22,14.16,37.2
Apr 2 2011 11:00:01 PM,24.77,22,13.81,0
Apr 2 2011 11:30:01 PM,24.77,22,14.2,37.9
Apr 3 2011 12:00:01 AM,24.77,22,13.64,0
Apr 3 2011 12:30:01 AM,24.77,22,13.41,0
Apr 3 2011 01:00:01 AM,24.77,22,13.45,0
Apr 3 2011 01:30:01 AM,24.77,22,14.25,0
Apr 3 2011 02:00:01 AM,24.77,22,13.85,20.4
Apr 3 2011 02:30:01 AM,24.77,22,13.44,0
Apr 3 2011 03:00:01 AM,24.77,22,13.83,33.3
Apr 3 2011 03:30:01 AM,24.77,22,13.2,0
Apr 3 2011 04:00:01 AM,24.77,22,13.6,38
Apr 3 2011 04:30:01 AM,24.77,22,14.04,0
Apr 3 2011 05:00:01 AM,24.77,22,13.74,0
Apr 3 2011 05:30:01 AM,24.77,22,13.83,0
Apr 3 2011 06:00:01 AM,24.77,22,13.93,20
Apr 3 2011 06:30:01 AM,24.77,22,14.13,0
Apr 3 2011 07:00:01 AM,24.77,22,14.02,38.4
Apr 3 2011 07:30:01 AM,24.77,22,14.01,0
Apr 3 2011 08:00:01 AM,24.77,22,13.39,0
Apr 3 2011 08:30:01 AM,24.77,22,14.22,0
Apr 3 2011 09:00:01 AM,24.77,22,14.8,0
Apr 3 2011 09:30:01 AM,24.77,22,14.53,20
Apr 3 2011 10:00:01 AM,24.77,22,14.39,0
Apr 3 2011 10:30:01 AM,24.77,22,14.05,38.3
Apr 3 2011 11:00:01 AM,24.77,22,14.5,0
Apr 3 2011 11:30:01 AM,24.77,22,14.66,0
Apr 3 2011 12:00:01 PM,24.77,22,14.53,0
Apr 3 2011 12:30:01 PM,24.77,22,12.89,0
Apr 3 2011 01:00:01 PM,24.77,22,12.06,33.7
Apr 3 2011 01:30:01 PM,24.77,22,11.44,0
Apr 3 2011 02:00:01 PM,24.77,22,12.08,0
Apr 3 2011 02:30:01 PM,24.77,22,11.93,0
Apr 3 2011 03:00:01 PM,24.77,22,12.16,0
Apr 3 2011 03:30:01 PM,24.77,22,12.94,0
Apr 3 2011 04:00:01 PM,24.77,22,11.62,0
Apr 3 2011 04:30:01 PM,24.77,22,14.27,0
Apr 3 2011 05:00:01 PM,24.77,22,14.17,0
Apr 3 2011 05:30:01 PM,24.77,22,14.16,0
Apr 3 2011 06:00:01 PM,24.77,22,14.13,0
Apr 3 2011 06:30:01 PM,24.77,22,14.25,0
Apr 3 2011 07:00:01 PM,24.77,22,13.85,0
Apr 3 2011 07:30:01 PM,24.77,22,13.92,0
Apr 3 2011 08:00:01 PM,24.77,22,13.88,0
Apr 3 2011 08:30:01 PM,24.77,22,13.68,0
Apr 3 2011 09:00:01 PM,24.77,22,13.64,0
Apr 3 2011 09:30:01 PM,24.77,22,13.8,0
Apr 3 2011 10:00:01 PM,24.77,22,14.01,0
Apr 3 2011 10:30:01 PM,24.77,22,13.69,0
Apr 3 2011 11:00:01 PM,24.77,22,13.93,32
Apr 3 2011 11:30:01 PM,24.77,22,13.42,0
Apr 4 2011 12:00:01 AM,24.77,22,13.86,0
Apr 4 2011 12:30:01 AM,24.77,22,14.13,0
Apr 4 2011 01:00:01 AM,24.77,22,13.55,0
Apr 4 2011 01:30:01 AM,24.77,22,13.87,0
Apr 4 2011 02:00:01 AM,24.77,22,13.08,0
Apr 4 2011 02:30:01 AM,24.77,22,12.91,20.2
Apr 4 2011 03:00:01 AM,24.77,22,12.73,32
Apr 4 2011 03:30:01 AM,24.77,22,13.52,0
Apr 4 2011 04:00:01 AM,24.77,22,13.36,0
Apr 4 2011 04:30:01 AM,24.77,22,13.25,0
Apr 4 2011 05:00:01 AM,24.77,22,13.5,0
Apr 4 2011 05:30:01 AM,24.77,22,12.05,0
Apr 4 2011 06:00:01 AM,24.77,22,12.89,0
Apr 4 2011 06:30:01 AM,24.77,22,11.88,0
Apr 4 2011 07:00:01 AM,24.77,22,12.56,0
Apr 4 2011 07:30:01 AM,24.77,22,12.48,0
Apr 4 2011 08:00:01 AM,24.77,22,13.23,0
Apr 4 2011 08:30:01 AM,24.77,22,13.38,0
Apr 4 2011 09:00:01 AM,24.77,22,13.52,0
Apr 4 2011 09:30:01 AM,24.77,22,13.78,0
Apr 4 2011 10:00:01 AM,24.77,22,13.19,0
